epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1611.35,1.54545,2.60446,1.74334,0.41515,0.18368,0.18625,0.06782,2.08702,3.65816,2.51522,0.000659794,0.000659794,0.000659794
2,3147.76,1.74078,2.43766,1.93511,0.18281,0.28671,0.11388,0.03625,2.28435,5.9194,3.04082,0.00128269,0.00128269,0.00128269
3,4613.43,1.78515,2.38436,1.99724,0.19604,0.23077,0.15058,0.04779,2.50895,5.08126,2.9993,0.00186158,0.00186158,0.00186158
4,6123.77,1.826,2.32006,2.00501,0.25602,0.26573,0.2085,0.06595,2.19373,3.28992,2.61988,0.001802,0.001802,0.001802
5,7345.28,1.7948,2.16358,1.96561,0.38934,0.39161,0.28302,0.09778,2.22691,2.6975,2.70469,0.001736,0.001736,0.001736
6,8488.37,1.70692,2.03293,1.90428,0.29014,0.25874,0.22486,0.08238,2.23127,2.59569,2.51334,0.00167,0.00167,0.00167
7,9622.51,1.66779,1.9429,1.84068,0.44435,0.43357,0.41189,0.16258,1.98609,2.16584,2.39666,0.001604,0.001604,0.001604
8,10740.5,1.64337,1.90251,1.84827,0.39464,0.41958,0.36833,0.15154,2.04468,2.40593,2.47527,0.001538,0.001538,0.001538
9,11862.8,1.61645,1.84608,1.81459,0.67424,0.43422,0.49635,0.21126,1.90991,2.21622,2.22395,0.001472,0.001472,0.001472
10,12988.5,1.59812,1.7978,1.83386,0.60825,0.51049,0.52959,0.22713,1.92066,1.94673,2.26358,0.001406,0.001406,0.001406
11,14114.3,1.57886,1.76353,1.79136,0.59007,0.46853,0.54314,0.21532,1.99638,1.84567,2.30712,0.00134,0.00134,0.00134
12,15228,1.52429,1.63868,1.7261,0.64144,0.4965,0.52497,0.23451,1.95365,2.08597,2.36646,0.001274,0.001274,0.001274
13,16366.2,1.51226,1.63094,1.73653,0.5907,0.54499,0.50729,0.23039,1.93387,1.98198,2.2672,0.001208,0.001208,0.001208
14,17494.6,1.48264,1.54089,1.71895,0.70356,0.46154,0.54339,0.25335,1.93412,1.79371,2.29604,0.001142,0.001142,0.001142
15,18621.8,1.45202,1.50797,1.68459,0.65088,0.42657,0.4876,0.23119,1.8538,1.90181,2.16465,0.001076,0.001076,0.001076
16,19754.9,1.44181,1.46444,1.66043,0.63014,0.53147,0.569,0.26405,1.91343,1.62619,2.27832,0.00101,0.00101,0.00101
17,20888.2,1.41078,1.40045,1.66095,0.78684,0.54545,0.60185,0.29245,1.816,1.63232,2.15994,0.000944,0.000944,0.000944
18,22016.9,1.39374,1.42967,1.63686,0.81267,0.51748,0.64942,0.2923,1.86287,1.61802,2.22028,0.000878,0.000878,0.000878
19,23156.3,1.36407,1.38132,1.60887,0.67947,0.55944,0.60303,0.29641,1.86657,1.65091,2.208,0.000812,0.000812,0.000812
20,24295.8,1.34049,1.33671,1.58256,0.74513,0.51049,0.62978,0.31746,1.82918,1.63419,2.15064,0.000746,0.000746,0.000746
21,25429.5,1.30023,1.1438,1.62471,0.74216,0.52336,0.62344,0.30803,1.7579,1.69822,2.11307,0.00068,0.00068,0.00068
22,26552.9,1.25121,1.07452,1.58698,0.60063,0.55944,0.59372,0.28005,1.84481,1.6804,2.16194,0.000614,0.000614,0.000614
23,27715.3,1.23409,0.99402,1.57533,0.82687,0.47552,0.64134,0.31023,1.83144,1.55783,2.1719,0.000548,0.000548,0.000548
24,28872.3,1.17386,0.94659,1.53212,0.7485,0.57343,0.65268,0.31508,1.81795,1.63968,2.15232,0.000482,0.000482,0.000482
25,30011.1,1.14264,0.90635,1.49066,0.71503,0.55245,0.64928,0.32426,1.80182,1.62746,2.13911,0.000416,0.000416,0.000416
26,31179.3,1.10562,0.87004,1.46732,0.71786,0.52448,0.62843,0.31402,1.85743,1.60186,2.19481,0.00035,0.00035,0.00035
27,32337.2,1.0826,0.83064,1.44661,0.77885,0.51719,0.64634,0.33183,1.83154,1.58754,2.17141,0.000284,0.000284,0.000284
28,33513.8,1.0466,0.80009,1.42308,0.83132,0.5035,0.66277,0.33177,1.84562,1.52049,2.18106,0.000218,0.000218,0.000218
29,34677.9,1.00413,0.75448,1.38142,0.78696,0.5035,0.64295,0.33423,1.85483,1.54799,2.20439,0.000152,0.000152,0.000152
30,35834.2,1.00019,0.7416,1.382,0.76502,0.51049,0.64649,0.32689,1.81533,1.5545,2.17163,8.6e-05,8.6e-05,8.6e-05
